leg_length_m,controllability_rank,max_closed_loop_real
0.15362,10,-1.6957264380487826
0.16722,10,-1.696866498954884
0.18286,10,-1.697803493341573
0.19593,10,-1.698271340346467
0.21157,10,-1.6986328476969672
0.2221,10,-1.6987718212814151
0.23668,10,-1.6987974755132451
0.24836,10,-1.6987144292019476
0.26134,10,-1.6985178830143095
0.27623,10,-1.6981572561324176
0.29076,10,-1.697742589189767
0.31101,10,-1.6970273454501035
