input_index,state_index,p3,p2,p1,p0
0,0,-0.7075467343872287,1.050706333428234,-2.101507932712564,-13.8616584803847
0,1,0.0063874220983492335,0.0066504576690061025,-0.20007442944978734,-0.736793331776394
0,2,-0.46393296001130013,0.5638760855623645,-0.5930392763511158,-4.604252698266355
0,3,-0.24621417217507086,0.30608825855184557,-0.41303318734626704,-3.019648712269408
0,4,-0.0954464334094279,1.997506926491592,-4.251843260678192,4.91060941567267
0,5,-0.05525971024539248,0.18564478331271253,-0.39743332622998295,0.4239946647213126
1,0,0.33787383360288026,6.2500402058313895,-15.23223149863356,20.44959855403475
1,1,-0.10321773023095646,0.2516976769470736,-0.5091721141078128,1.0309163228547056
1,2,-0.6659994515091174,5.156186646613159,-11.1148969044366,15.11055811853222
1,3,-0.6239202378564954,3.1460082164044056,-6.571443994874031,9.24109191198662
1,4,9.450322122642126,-12.073473786584914,12.418457824009211,130.34778994198675
1,5,0.8752784194290286,-0.9264336452200421,0.8062067362704844,4.304750011170952
